Author,Articles,Year Range,Average
"Chen, Mary XiaoRong",2,2024-2024,2
"Chu, Angela",2,2024-2024,2
"Chong, Kyle L.",2,2024-2024,2
"Chu, Garam",2,2023-2023,2
"Dai, Jane",2,2022-2022,2
"Dai, David Wei",4,2023-2024,2
"Chen, Julian ChengChiang",2,2020-2020,2
"Cheng, Zhiming",2,2018-2018,2
"Chen, Miranda M.",2,2019-2019,2
"Chen, Qing",2,2024-2024,2
"Chen, Xiufang",2,2022-2022,2
"Chen, Zhong",2,2024-2024,2
"Chen, Meng-Mei",2,2018-2018,2
"Cheng, Wenjuan",2,2024-2024,2
"Cheng, Charles Fang Chin",2,2017-2017,2
"Dang, Elena",2,2023-2023,2
"Feng, Zhihui",2,2024-2024,2
"Fei, Fei",2,2009-2009,2
"Fang, Tiffany",2,2023-2023,2
"Fu, Ruth",2,2023-2023,2
"Chen, Guanliang",2,2024-2024,2
"Gao, Bing",2,2024-2024,2
"Gan, Samuel Ken-En",2,2016-2016,2
"Chen, Jinjushang",2,2024-2024,2
"Du, Wenyi",4,2023-2024,2
"Du, Chen",2,2023-2023,2
"Dong, Liu",2,2024-2024,2
"Du, XY",2,2008-2008,2
"Fan, Yizhou",2,2022-2022,2
"Fan, Aysa Xuemo",2,2023-2023,2
"Chen, Julian",4,2022-2023,2
"Huang, YL",2,1997-1997,2
"Li, Ishuan",2,2016-2016,2
"Hui, Felix Kin Peng",2,2021-2021,2
"Hui, Vanessa W.",2,2023-2023,2
"Le, Viet",2,2024-2024,2
"Jin, Congrui",2,2024-2024,2
"Le, Thanh Thao",4,2023-2024,2
"Le, Tuan Dinh",2,2023-2023,2
"Le, Thi Nguyet",2,2022-2022,2
"Li, Chenglu",2,2024-2024,2
"Jiang, Heng",2,2019-2019,2
"Jiang, Feng",2,2016-2016,2
"Le, Vi-Nhuan",2,2016-2016,2
"Jiang, Jialei",2,2024-2024,2
"Cai, Qijie Vicky",2,2023-2023,2
"Chang, Amy L.",4,2016-2017,2
"Jia, Yuane",4,2023-2024,2
"Jiang, Lei",4,2023-2024,2
"Chang, Daphne",2,2024-2024,2
"Lang, Lynn A.",2,2016-2016,2
"Kong, Ming Sum",2,2024-2024,2
"Bao, Diep Quoc",2,2023-2023,2
"Li, Kaigang",2,2024-2024,2
"Kou, Yangming",2,2021-2021,2
"Bai, Yiping",2,2023-2023,2
"Li, Lin",2,2024-2024,2
"Kou, Heung",2,2024-2024,2
"Le, Dinh Duong",2,2022-2022,2
"Kang, Eunki",2,2023-2023,2
"Kang, Jiyoung",2,2024-2024,2
"Ju, Hongjoo",2,2024-2024,2
"Chang, Doris F.",2,2022-2022,2
"Li, Jingxian",2,2024-2024,2
"Le, Hien Thi Thu",2,2024-2024,2
"Kang, Sun Chul",2,2017-2017,2
"Le, Quynh Hoa",2,2023-2023,2
"Liu, Wei",17,2016-2024,1.89
"Chai, Ching -Sing",15,2010-2017,1.88
"Zhang, Yi (Leaf)",20,2013-2023,1.82
"Hu, Wendy",18,2015-2024,1.8
"Chang, Ethan",9,2019-2023,1.8
