Author,Country
"Chen, Yihua",Australia
"Chen, Yi-Jui Iva",United States
"Chen, Ying",United States
"Chen, Ying-Chih",United States
"Chen, Yingjie",China
"Chen, Yingjie",United States
"Chen, Yi-ning",United States
"Chen, Yinong",China
"Chen, Yinong",United States
"Chen, Yiran",United States
"Chen, Yitao",United States
"Chen, Yixing",United States
"Chen, Yize",United States
"Chen, Yoke Yong",Malaysia
"Chen, Yong",Switzerland
"Chen, Yong",United States
"Chen, YQ",United States
"Chen, Yu",United States
"Chen, Yu (April)",United States
"Chen, Yu Sui",Malaysia
"Chen, Yuanxiang Kenneth",South Korea
"Chen, YuChun",United States
"Chen, Yue",United States
"Chen, Yu-Hua",United States
"Chen, Yu-Hui",United States
"Chen, Yu-Ling",United States
"Chen, Yulong",Japan
"Chen, Yuming",United States
"Chen, Yun-Chi",United States
"Chen, Yunfeng",United States
"Chen, Yung-Fang",Netherlands
"Chen, Yung-Ju",United States
"Chen, Yun-Ju",United States
"Chen, Yu-Sheng",United States
"Chen, Yuting",United States
"Chen, Yuwen",United States
"Chen, Yuxin",Hong Kong
"Chen, Yuxin",United States
"Chen, Yvonnes",United States
"Chen, Zan",South Korea
"Chen, Zelin",Japan
"Chen, Zengguan",United States
"Chen, Zhibo",United States
"Chen, Zhong",United States
"Chen, Zhongzhou",United States
"Chen, Zhu",Australia
"Chen, Zhuo",Iran
"Chen, Zhuo",United States
"Chen, Zhuo Job",United States
"Chen, Zi",United States
"Chen, Zibei",United States
"Chen, Ziguang",United States
"Chen, Zihan",United States
"Chen, Zixi",United States
"Chen, Ziyue",United States
"Chen, Zunqiu",United States
"Chen, ZY",United States
"Cheng, Aaron J.",United States
"Cheng, Adam",Canada
"Cheng, AHD",United States
"Cheng, Albert",United States
"Cheng, An",United States
"Cheng, An-Chih Janne",South Korea
"Cheng, An-Chih Janne",Taiwan
"Cheng, Anita",United States
"Cheng, An-Lun",Australia
"Cheng, Anran",United States
"Cheng, Baoyan",China
